Country Name,GDP at market prices (constant 2005 US$),GDP at market prices (current US$),GDP per capita (constant 2005 US$),GDP per capita (current US$),Internet users (per 100 people),Population growth (annual %),"Population, total"
Sudan,65634109236.7736,65634109236.7736,1476.47808657841,1476.47808657841,16.7,2.16169776110491,34385963.0
Suriname,4368398047.64333,4368398047.64333,8303.31332009764,8303.31332009764,31.59,1.0478522813607398,526103.0
Swaziland,4438778424.30203,4438778424.30203,3690.23922847955,3690.23922847955,11.04,1.8601612583229,1202843.0
Sweden,488377689564.921,488377689564.921,52076.2559134864,52076.2559134864,90.0,0.852524628765313,9378126.0
Switzerland,583782977866.405,583782977866.405,74605.7210207051,74605.7210207051,83.9,1.0415580576588,7824909.0
Syrian Arab Republic,,,,,20.7,0.926984294572979,21018834.0
Tajikistan,5642178579.58438,5642178579.58438,738.347522660006,738.347522660006,11.55,2.23386270801273,7641630.0
Tanzania,31407908612.0943,31407908612.0943,701.604550062032,701.604550062032,2.9,3.1609405598942297,46098591.0
Thailand,341105009515.333,341105009515.333,5075.30217639529,5075.30217639529,22.4,0.48764263118984297,67208808.0
Timor-Leste,894400000.0,894400000.0,806.062774481769,806.062774481769,3.0,1.5961371047552901,1109591.0
Togo,3172945644.5585,3172945644.5585,487.923891266382,487.923891266382,3.0,2.68814287140674,6502952.0
Tonga,369485198.817979,369485198.817979,3548.0683985325,3548.0683985325,16.0,0.5131400826480289,104137.0
Trinidad and Tobago,22157948396.2042,22157948396.2042,16683.945784356798,16683.945784356798,48.5,0.48926058775192405,1328100.0
Tunisia,44050929160.2627,44050929160.2627,4140.151769805901,4140.151769805901,36.8,1.11614722142513,10639931.0
Turkey,771876791231.838,771876791231.838,10672.0548208629,10672.0548208629,39.82,1.37505586908402,72326914.0
Turkmenistan,22583157894.7368,22583157894.7368,4439.20300021757,4439.20300021757,3.0,1.57028969646116,5087210.0
Turks and Caicos Islands,,,,,,2.4462755806265695,30994.0
Tuvalu,31823518.6204366,31823518.6204366,3021.8895281014698,3021.8895281014698,25.0,0.8582925090486779,10531.0
Uganda,20186496527.1276,20186496527.1276,595.206173218534,595.206173218534,12.5,3.4290027639141,33915133.0
Ukraine,136013155905.036,136013155905.036,2965.1423654977098,2965.1423654977098,23.3,-0.39728523600594295,45870700.0
United Arab Emirates,289880430197.413,289880430197.413,35049.1483168035,35049.1483168035,68.0,7.58709832289201,8270684.0
United Kingdom,2441173394729.62,2441173394729.62,38893.0184937365,38893.0184937365,85.0,0.783888646646516,62766365.0
United States,14964372000000.0,14964372000000.0,48373.878815577904,48373.878815577904,71.69,0.8364215362529192,309348193.0
Upper middle income,15792230570440.2,15792230570440.2,6407.7936597180005,6407.7936597180005,33.880455749124195,0.738558538935052,2464534816.3622303
Uruguay,40284481661.8726,40284481661.8726,11938.2120047097,11938.2120047097,46.4,0.346139748345401,3374415.0
Uzbekistan,39332770928.9426,39332770928.9426,1377.0821404693802,1377.0821404693802,15.9,2.82284968340424,28562400.0
Vanuatu,700804286.224354,700804286.224354,2965.80243434839,2965.80243434839,8.0,2.35944832386145,236295.0
"Venezuela, RB",393190682070.491,393190682070.491,13545.2058384559,13545.2058384559,37.37,1.5298650436186103,29028033.0
Vietnam,115931749697.241,115931749697.241,1333.58352396677,1333.58352396677,30.65,1.04940037653285,86932500.0
Virgin Islands (U.S.),4339000000.0,4339000000.0,40831.1140805706,40831.1140805706,31.22,-0.41319656485294903,106267.0
West Bank and Gaza,8913100000.0,8913100000.0,2338.71987682303,2338.71987682303,37.4,2.89862866566735,3811102.0
World,65954532001568.7,65954532001568.7,9516.34669881109,9516.34669881109,28.8540458859406,1.2186291177756299,6930656699.362229
"Yemen, Rep.",30906749533.221,30906749533.221,1309.23195973585,1309.23195973585,12.35,2.71303386256953,23606779.0
Zambia,20265556273.582,20265556273.582,1463.21357310715,1463.21357310715,10.0,2.88315226585892,13850033.0
Zimbabwe,10141859709.6169,10141859709.6169,719.9795169750121,719.9795169750121,6.4,1.97675598375432,14086317.0
